text,image_path,sentiment,will_rebuy
"Loa Bluetooth này bị lỗi, không kết nối được, rất thất vọng.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Tai nghe này chất lượng kém, âm thanh rất tệ.",,0,0
"Camera hành trình này khiếu nại, shop xử lý không ổn.",,0,0
"Máy chiếu này bị hỏng ngay khi nhận, không chấp nhận được.",,0,0
"Chuột không dây này rất tệ, không mua nữa.",,0,0
"Cho mình hỏi loa Bluetooth này pin dùng được bao lâu?",Bluetooth Bone Conduction Speaker.jpg,1,0
"Tai nghe này có thể kết nối với điện thoại không?",,1,0
"Camera hành trình này cũng được, không có gì đặc biệt.",,1,0
"Máy chiếu này tạm ổn.",,1,0
"Nhờ shop tư vấn thêm về chuột không dây này.",,1,0
"Loa Bluetooth này rất tốt, âm thanh hay, sẽ ủng hộ lâu dài!",Bluetooth Bone Conduction Speaker.jpg,2,1
"Tai nghe này hài lòng, chất lượng đúng mô tả.",JLab JBuds Mini True Wireless Earbuds.jpg,2,1
"Cảm ơn shop, sẽ mua thêm camera hành trình khác.",,2,1
"Máy chiếu này rất thích, đóng gói cẩn thận.",Kodak Luma 75 Ultra Mini Projector.jpg,2,1
"Chuột không dây này tuyệt vời, ủng hộ shop.",Logitech POP Mouse Wireless.jpg,2,1
"Loa này hỏng, không phát được âm thanh.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Tai nghe này dở, không như mong đợi.",,0,0
"Camera hành trình này ok tốt.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,2,1
"Máy chiếu này xuất sắc!",Kodak Luma 75 Ultra Mini Projector.jpg,2,1
"Mình cần đổi loa Bluetooth này sang màu khác.",Bluetooth Bone Conduction Speaker.jpg,1,0
"Tai nghe này tạm ổn, nhưng mà pin yếu quá.",JLab JBuds Mini True Wireless Earbuds.jpg,1,0
"Camera hành trình này cũng được, không biết nói gì luôn.",,1,0
"Vừa mua máy chiếu xong, để xem sao.",Kodak Luma 75 Ultra Mini Projector.jpg,1,0
"Lần trước mua chuột tốt lắm, lần này thì tạm.",Logitech POP Mouse Wireless.jpg,1,0
"Cảm ơn shop đã phản hồi nhanh về loa dù vẫn chưa xử lý xong.",,1,0
"Đúng là không thể tin được về chất lượng tai nghe này.",,1,0
"Bao bì camera hành trình bị rách, hàng bên trong cũng hỏng.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,0,0
"Máy chiếu này chất lượng kém hơn so với mô tả.",Kodak Luma 75 Ultra Mini Projector.jpg,0,0
"Shop phản hồi chậm về chuột, không hài lòng.",,0,0
"Màu sắc loa Bluetooth không đúng như hình.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Tai nghe này không chuẩn, quá nhỏ so với tai.",JLab JBuds Mini True Wireless Earbuds.jpg,0,0
"Đổi trả camera hành trình phức tạp, không muốn mua lại.",,0,0
"Giao hàng máy chiếu sai địa chỉ, rất bực mình.",,0,0
"Chuột này lỗi nhưng shop không chịu đổi.",Logitech POP Mouse Wireless.jpg,0,0
"Loa Bluetooth này không đáng giá tiền, thất vọng.",,0,0
"Tai nghe này có vẻ như đã qua sử dụng.",JLab JBuds Mini True Wireless Earbuds.jpg,0,0
"Camera hành trình này dễ hỏng.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,0,0
"Máy chiếu này không như mong đợi, sẽ không mua nữa.",,0,0
"Shop không chịu trách nhiệm về lỗi chuột.",,0,0
"Đóng gói loa Bluetooth cẩu thả, hàng bị hỏng.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Tai nghe này giá cao nhưng chất lượng thấp.",,0,0
"Không hài lòng với dịch vụ chăm sóc khách hàng về camera.",,0,0
"Máy chiếu này bị lỗi kỹ thuật.",Kodak Luma 75 Ultra Mini Projector.jpg,0,0
"Thời gian giao hàng chuột quá chậm.",,0,0
"Loa Bluetooth này không đúng với mô tả trên website.",,0,0
"Shop xử lý khiếu nại về tai nghe không tốt.",,0,0
"Mình muốn hỏi về chính sách đổi trả camera hành trình.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,1,0
"Có thể giao hàng máy chiếu vào cuối tuần không?",,1,0
"Chuột này có nhiều màu không?",Logitech POP Mouse Wireless.jpg,1,0
"Cho mình xem thêm hình ảnh thực tế của loa Bluetooth.",Bluetooth Bone Conduction Speaker.jpg,1,0
"Tai nghe này có form vừa tai không?",JLab JBuds Mini True Wireless Earbuds.jpg,1,0
"Camera hành trình này có bền không?",,1,0
"Giá máy chiếu này có thể giảm thêm không?",,1,0
"Có mã giảm giá cho chuột không?",,1,0
"Đơn hàng loa Bluetooth đã được xử lý chưa?",,1,0
"Tai nghe này phù hợp với điện thoại nào?",,1,0
"Có thể mua trả góp camera hành trình không?",,1,0
"Bao lâu thì nhận được máy chiếu?",,1,0
"Có thể đổi chuột này sang màu khác không?",Logitech POP Mouse Wireless.jpg,1,0
"Loa Bluetooth này có đầy đủ phụ kiện không?",Bluetooth Bone Conduction Speaker.jpg,1,0
"Cho mình hỏi về chính sách bảo hành tai nghe.",,1,0
"Có thể xem video review camera hành trình không?",,1,0
"Máy chiếu này có hàng không?",,1,0
"Mình muốn biết thêm về pin của chuột.",,1,0
"Có thể mua kèm loa Bluetooth với tai nghe không?",,1,0
"Đơn hàng camera hành trình có thể hủy không?",,1,0
"Máy chiếu này có phù hợp với phòng nhỏ không?",,1,0
"Cảm ơn shop, loa Bluetooth đẹp lắm!",Bluetooth Bone Conduction Speaker.jpg,2,1
"Rất hài lòng với tai nghe, sẽ mua thêm.",JLab JBuds Mini True Wireless Earbuds.jpg,2,1
"Camera hành trình này chất lượng tốt, đúng như mong đợi.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,2,1
"Máy chiếu này giao hàng nhanh, đóng gói cẩn thận.",Kodak Luma 75 Ultra Mini Projector.jpg,2,1
"Chuột này đẹp, giá hợp lý.",Logitech POP Mouse Wireless.jpg,2,1
"Shop phục vụ tốt về loa Bluetooth, cảm ơn nhiều.",,2,1
"Rất thích tai nghe này, sẽ giới thiệu cho bạn bè.",,2,1
"Camera hành trình này đúng mô tả, rất hài lòng.",,2,1
"Máy chiếu này chất lượng vượt mong đợi.",,2,1
"Sẽ ủng hộ shop lâu dài về chuột.",,2,1
"Loa Bluetooth này tốt, đáng giá tiền.",Bluetooth Bone Conduction Speaker.jpg,2,1
"Tai nghe này giao hàng đúng hẹn, rất chuyên nghiệp.",,2,1
"Cảm ơn shop đã tư vấn nhiệt tình về camera.",,2,1
"Máy chiếu này đẹp, chất lượng tốt.",,2,1
"Sẽ mua thêm các sản phẩm khác của shop.",,2,1
"Rất hài lòng với dịch vụ về chuột.",,2,1
"Loa Bluetooth này đúng với hình ảnh.",,2,1
"Tai nghe này đóng gói đẹp, hàng nguyên vẹn.",,2,1
"Shop xử lý đơn hàng camera hành trình nhanh chóng.",,2,1
"Máy chiếu này chất lượng tốt, giá cả hợp lý.",Kodak Luma 75 Ultra Mini Projector.jpg,2,1
"Sẽ quay lại mua tiếp chuột.",,2,1
"Cảm ơn shop, loa Bluetooth rất đẹp.",,2,1
"Rất thích tai nghe này.",,2,1
"Camera hành trình này giao hàng nhanh, đúng hẹn.",,2,1
"Máy chiếu này tốt hơn mong đợi.",,2,1
"Sẽ giới thiệu shop cho người thân về chuột.",,2,1
"Hài lòng với chất lượng loa Bluetooth.",,2,1
"Cảm ơn shop đã phục vụ tốt về tai nghe.",,2,1
"Camera hành trình này đẹp, đúng mô tả.",,2,1
"Rất vui với đơn hàng máy chiếu này.",,2,1
"Sẽ mua thêm nhiều sản phẩm khác.",,2,1
"Chuột này chất lượng tốt, đáng mua.",,2,1
"Shop phục vụ chuyên nghiệp về loa Bluetooth.",,2,1
"Tai nghe này đẹp, giao hàng nhanh.",,2,1
"Camera hành trình này tốt, giá hợp lý.",Garmin Dash Cam Mini 3 Ultra‑Compact.jpg,2,1
"Rất hài lòng với máy chiếu, cảm ơn shop.",,2,1
"Sẽ ủng hộ shop thường xuyên về chuột.",,2,1
"Loa Bluetooth này chất lượng vượt trội.",,2,1
"Tai nghe này giao hàng đúng hẹn, hàng đẹp.",,2,1
"Loa Bluetooth này bị lỗi màu sắc, không giống hình.",Bluetooth Bone Conduction Speaker.jpg,0,0
"Tai nghe này chất lượng tệ, không xứng với giá tiền.",JLab JBuds Mini True Wireless Earbuds.jpg,0,0
"Camera hành trình này giao hàng trễ hẹn nhiều ngày.",,0,0
"Máy chiếu này bị hỏng ngay khi nhận.",Kodak Luma 75 Ultra Mini Projector.jpg,0,0
